sno,id_no,species,1.1. ecosystem conversion,1.2. ecosystem degradation,1.3. indirect ecosystem effects,2.1. species mortality,2.2. species disturbance,2.3.1. hybridization,2.3.2. competition,2.3.3. loss of mutualism,2.3.4. loss of pollinator,2.3.5. inbreeding,2.3.6. skewed sex ratios,2.3.7. reduced reproductive success,2.3.8. other,1.1. housing & urban areas,1.2. commercial & industrial areas,1.3. tourism & recreation areas,2.1.1. shifting agriculture,2.1.2. small-holder farming,2.1.3. agro-industry farming,2.1.4. scale unknown/unrecorded,2.2.1. small-holder plantations,2.2.2. agro-industry plantations,2.2.3. scale unknown/unrecorded,2.3.1. nomadic grazing,"2.3.2. small-holder grazing, ranching or farming","2.3.3. agro-industry grazing, ranching or farming",2.3.4. scale unknown/unrecorded,2.4.1. subsistence/artisinal aquaculture,2.4.2. industrial aquaculture,2.4.3. scale unknown/unrecorded,3.1. oil & gas drilling,3.2. mining & quarrying,3.3. renewable energy,4.1. roads & railroads,4.2. utility & service lines,4.3. shipping lanes,4.4. flight paths,5.1.1. intentional use (species being assessed is the target),5.1.2. unintentional effects (species being assessed is not the target),5.1.3. persecution/control,5.1.4. motivation unknown/unrecorded,5.2.1. intentional use (species being assessed is the target),5.2.2. unintentional effects (species being assessed is not the target),5.2.3. persecution/control,5.2.4. motivation unknown/unrecorded,5.3.1. intentional use: subsistence/small scale (species being assessed is the target) [harvest],5.3.2. intentional use: large scale (species being assessed is the target) [harvest],5.3.3. unintentional effects: subsistence/small scale (species being assessed is not the target) [harvest],5.3.4. unintentional effects: large scale (species being assessed is not the target) [harvest],5.3.5. motivation unknown/unrecorded,5.4.1. intentional use: subsistence/small scale (species being assessed is the target) [harvest],5.4.2. intentional use: large scale (species being assessed is the target) [harvest],5.4.3. unintentional effects: subsistence/small scale (species being assessed is not the target) [harvest],5.4.4. unintentional effects: large scale (species being assessed is not the target) [harvest],5.4.5. persecution/control,5.4.6. motivation unknown/unrecorded,6.1. recreational activities,"6.2. war, civil unrest & military exercises",6.3. work & other activities,7.1.1. increase in fire frequency/intensity,7.1.2. supression in fire frequency/intensity,7.1.3. trend unknown/unrecorded,7.2.1. abstraction of surface water (domestic use),7.2.2. abstraction of surface water (commercial use),7.2.3. abstraction of surface water (agricultural use),7.2.4. abstraction of surface water (unknown use),7.2.5. abstraction of ground water (domestic use),7.2.6. abstraction of ground water (commercial use),7.2.7. abstraction of ground water (agricultural use),7.2.8. abstraction of ground water (unknown use),7.2.9. small dams,7.2.10. large dams,7.2.11. dams (size unknown),7.3. other ecosystem modifications,8.1.1. unspecified species,8.1.2. named species,8.2.1. unspecified species,8.2.2. named species,8.3. introduced genetic material,8.4.1. unspecified species,8.4.2. named species,"8.5.1. unspecified ""species"" (disease)","8.5.2. named ""species"" (disease)",8.6. diseases of unknown cause,9.1.1. sewage,9.1.2. run-off,9.1.3. type unknown/unrecorded,9.2.1. oil spills,9.2.2. seepage from mining,9.2.3. type unknown/unrecorded,9.3.1. nutrient loads,"9.3.2. soil erosion, sedimentation",9.3.3. herbicides and pesticides,9.3.4. type unknown/unrecorded,9.4. garbage & solid waste,9.5.1. acid rain,9.5.2. smog,9.5.3. ozone,9.5.4. type unknown/unrecorded,9.6.1. light pollution,9.6.2. thermal pollution,9.6.3. noise pollution,9.6.4. type unknown/unrecorded,10.1. volcanoes,10.2. earthquakes/tsunamis,10.3. avalanches/landslides,11.1. habitat shifting & alteration,11.2. droughts,11.3. temperature extremes,11.4. storms & flooding,11.5. other impacts,12.1. other threat,tim,tt,d,i,u,s,ex,ew,re,cr,en,vu,lo,ne,le,da,no,terrestrial,marine,freshwater (=inland waters),generation
1,1,Paramesotriton hongkongensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,Duttaphrynus melanostictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,Eleutherodactylus planirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,4,Leptobrachella laui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,5,Megophrys brachykolos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,6,Kalophrynus interlineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,7,Kaloula pulchra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,8,Microhyla butleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9,Microhyla fissipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,10,Microhyla pulchra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
